,id,ico_id,ico_symbol,date,open,close,low,high,created_at,updated_at,volume,btc_open,btc_close,btc_low,btc_high,value_from_coinmarketcap,currency
51136,3136974,3306,ETH,2019-03-16 00:00:00,132.2100067139,136.6100006104,132.1699981689,137.6000061035,2019-11-21 12:03:44,2019-11-21 12:03:44,928965.4375,,,,,0,USD
51137,3136975,3306,ETH,2019-03-17 00:00:00,136.5899963379,140.9700012207,136.4400024414,144.1600036621,2019-11-21 12:03:44,2019-11-21 12:03:44,1054488.875,,,,,0,USD
51138,3136976,3306,ETH,2019-03-18 00:00:00,140.9700012207,138.6600036621,137.1600036621,140.9900054932,2019-11-21 12:03:44,2019-11-21 12:03:44,637462.4375,,,,,0,USD
51139,3136977,3306,ETH,2019-03-19 00:00:00,138.6600036621,137.6300048828,136.4700012207,141.9199981689,2019-11-21 12:03:44,2019-11-21 12:03:44,629456.5625,,,,,0,USD
51140,3136978,3306,ETH,2019-03-20 00:00:00,137.6399993896,138.5099945068,136.9700012207,139.3099975586,2019-11-21 12:03:44,2019-11-21 12:03:44,619078.1875,,,,,0,USD
51141,3136979,3306,ETH,2019-03-21 00:00:00,138.5500030518,139.0299987793,136.2100067139,140.0399932861,2019-11-21 12:03:44,2019-11-21 12:03:44,583427.4375,,,,,0,USD
51142,3136980,3306,ETH,2019-03-22 00:00:00,139.0399932861,134.8399963379,132.1000061035,139.6499938965,2019-11-21 12:03:44,2019-11-21 12:03:44,709804.25,,,,,0,USD
51143,3136981,3306,ETH,2019-03-23 00:00:00,134.8300018311,135.9900054932,134.3200073242,137.3099975586,2019-11-21 12:03:44,2019-11-21 12:03:44,435192.25,,,,,0,USD
51144,3136982,3306,ETH,2019-03-24 00:00:00,136.1100006104,137.2700042725,135.5200042725,138.3000030518,2019-11-21 12:03:44,2019-11-21 12:03:44,372856.9375,,,,,0,USD
51145,3136983,3306,ETH,2019-03-25 00:00:00,137.2599945068,136.1000061035,134.9600067139,137.3000030518,2019-11-21 12:03:44,2019-11-21 12:03:44,799567.5625,,,,,0,USD
